insolation,obliquity,status
1.0,0.0,0.0
1.0,10.0,0.0
1.0,20.0,0.0
1.0,30.0,0.0
1.0,40.0,0.0
1.0,50.0,0.0
1.0,60.0,0.0
1.0,70.0,0.0
1.0,80.0,0.0
1.0,90.0,2.0
1.025,0.0,0.0
1.025,10.0,0.0
1.025,20.0,0.0
1.025,30.0,0.0
1.025,40.0,0.0
1.025,50.0,0.0
1.025,60.0,0.0
1.025,70.0,0.0
1.025,80.0,2.0
1.025,90.0,2.0
1.05,0.0,0.0
1.05,10.0,0.0
1.05,20.0,0.0
1.05,30.0,0.0
1.05,40.0,0.0
1.05,50.0,0.0
1.05,60.0,0.0
1.05,70.0,0.0
1.05,80.0,2.0
1.05,90.0,2.0
1.075,0.0,0.0
1.075,10.0,0.0
1.075,20.0,0.0
1.075,30.0,0.0
1.075,40.0,0.0
1.075,50.0,0.0
1.075,60.0,0.0
1.075,70.0,3.0
1.075,80.0,3.0
1.075,90.0,3.0
1.1,0.0,0.0
1.1,10.0,0.0
1.1,20.0,0.0
1.1,30.0,0.0
1.1,40.0,0.0
1.1,50.0,0.0
1.1,60.0,0.0
1.1,70.0,3.0
1.1,80.0,3.0
1.1,90.0,3.0
1.125,0.0,0.0
1.125,10.0,0.0
1.125,20.0,0.0
1.125,30.0,0.0
1.125,40.0,0.0
1.125,50.0,0.0
1.125,60.0,0.0
1.125,70.0,3.0
1.125,80.0,3.0
1.125,90.0,3.0
1.15,0.0,0.0
1.15,10.0,0.0
1.15,20.0,0.0
1.15,30.0,0.0
1.15,40.0,0.0
1.15,50.0,0.0
1.15,60.0,3.0
1.15,70.0,3.0
1.15,80.0,3.0
1.15,90.0,3.0
1.175,0.0,0.0
1.175,10.0,0.0
1.175,20.0,0.0
1.175,30.0,0.0
1.175,40.0,0.0
1.175,50.0,0.0
1.175,60.0,3.0
1.175,70.0,3.0
1.175,80.0,3.0
1.175,90.0,3.0
1.2,0.0,0.0
1.2,10.0,0.0
1.2,20.0,0.0
1.2,30.0,0.0
1.2,40.0,0.0
1.2,50.0,0.0
1.2,60.0,3.0
1.2,70.0,3.0
1.2,80.0,3.0
1.2,90.0,3.0
1.225,0.0,3.0
1.225,10.0,3.0
1.225,20.0,3.0
1.225,30.0,3.0
1.225,40.0,0.0
1.225,50.0,3.0
1.225,60.0,3.0
1.225,70.0,3.0
1.225,80.0,3.0
1.225,90.0,3.0
1.25,0.0,3.0
1.25,10.0,3.0
1.25,20.0,3.0
1.25,30.0,3.0
1.25,40.0,3.0
1.25,50.0,3.0
1.25,60.0,3.0
1.25,70.0,3.0
1.25,80.0,3.0
1.25,90.0,3.0
1.275,0.0,3.0
1.275,10.0,3.0
1.275,20.0,3.0
1.275,30.0,3.0
1.275,40.0,3.0
1.275,50.0,3.0
1.275,60.0,3.0
1.275,70.0,3.0
1.275,80.0,3.0
1.275,90.0,3.0
1.3,0.0,3.0
1.3,10.0,3.0
1.3,20.0,3.0
1.3,30.0,3.0
1.3,40.0,3.0
1.3,50.0,3.0
1.3,60.0,3.0
1.3,70.0,3.0
1.3,80.0,3.0
1.3,90.0,3.0
1.325,0.0,3.0
1.325,10.0,3.0
1.325,20.0,3.0
1.325,30.0,3.0
1.325,40.0,3.0
1.325,50.0,3.0
1.325,60.0,3.0
1.325,70.0,3.0
1.325,80.0,3.0
1.325,90.0,3.0
1.35,0.0,3.0
1.35,10.0,3.0
1.35,20.0,3.0
1.35,30.0,3.0
1.35,40.0,3.0
1.35,50.0,3.0
1.35,60.0,3.0
1.35,70.0,3.0
1.35,80.0,3.0
1.35,90.0,3.0
1.375,0.0,3.0
1.375,10.0,3.0
1.375,20.0,3.0
1.375,30.0,3.0
1.375,40.0,3.0
1.375,50.0,3.0
1.375,60.0,3.0
1.375,70.0,3.0
1.375,80.0,3.0
1.375,90.0,3.0
1.4,0.0,3.0
1.4,10.0,3.0
1.4,20.0,3.0
1.4,30.0,3.0
1.4,40.0,3.0
1.4,50.0,3.0
1.4,60.0,3.0
1.4,70.0,3.0
1.4,80.0,3.0
1.4,90.0,3.0
